id;lat;lng;sunrise;sunset;solar_noon;day_length
1;54;28;6:23:33 AM;1:46:29 PM;10:05:01 AM;07:22:56
2;2;3;5:44:48 AM;5:45:19 PM;11:45:03 AM;12:00:31
3;1;1;5:51:04 AM;5:55:03 PM;11:53:03 AM;12:03:59
4;23;23;5:03:17 AM;3:46:46 PM;10:25:02 AM;10:43:29
5;4;4;5:44:45 AM;5:38:20 PM;11:41:33 AM;11:53:35
6;52.4268586;18.3964412;6:53:45 AM;2:34:08 PM;10:43:56 AM;07:40:23
7;43;15;6:28:21 AM;3:28:42 PM;10:58:32 AM;09:00:21
8;23;45;3:42:56 AM;2:33:23 PM;9:08:09 AM;10:50:27
9;23;43;3:50:56 AM;2:41:23 PM;9:16:09 AM;10:50:27
10;540;32;4:08:03 AM;4:00:50 PM;10:04:27 AM;11:52:47
11;54;56;4:06:39 AM;12:51:44 PM;8:29:12 AM;08:45:05
12;54,52641;24,56478;6:04:00 AM;3:11:54 PM;10:37:57 AM;09:07:54
13;52.4848209;18.3741524;4:47:02 AM;5:00:29 PM;10:53:46 AM;12:13:27
14;54.267;567,234;1:53:38 PM;6:24:05 AM;10:08:51 PM;16:30:27
15;54;45;12:26:59 AM;5:34:16 PM;9:00:38 AM;17:07:17
